Dam,C,A,Fine,Medium,Coarse
Verbois,,,0.12,0.22,0.74
Chancy Pougny,"14,000,000","10,294",0.12,0.22,0.74
Génissiat,"72,000,000","10,910",0.39,0.58,0.93
Seyssel,"7,600,000","11,300",0.06,0.12,0.59
Chautagne,,"12,700",0.21,0.37,0.85
Belley,,"12,985",0.21,0.37,0.85
Brégnier-Cordon,,"14,000",0.21,0.37,0.85
Sault-Brénaz,,"15,380",0.21,0.37,0.85
Jons,"55,000,000","20,000",0.21,0.37,0.85
Pierre Bénite,,"50,400",0.21,0.37,0.85
Vaugris,"41,000,000","51,700",0.07,0.14,0.62
Péage de Roussillon,,"52,880",0.21,0.37,0.85
Saint Valiier,,"53,850",0.21,0.37,0.85
Bourg-lès Valences,,"66,450",0.21,0.37,0.85
Beauchastel,,"66,700",0.21,0.37,0.85
Baix-le Logis Neuf,,"69,960",0.21,0.37,0.85
Montélimar,,"70,900",0.21,0.37,0.85
Donzère-Mondragon,"27,000,000","71,000",0.04,0.07,0.44
Caderousse,"123,000",,0.07,0.14,0.62
Avignon,,,0.04,0.07,0.44
